Seconds,Spine4_ry - origin Distance [mm],Spine4_ry - origin Distance [mm],Spine4_ry - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Neck_ry - origin Distance [mm],Neck_ry - origin Distance [mm],Neck_ry - origin Distance [mm],Head_ry - origin Distance [mm],Head_ry - origin Distance [mm],Head_ry - origin Distance [mm],HeadEE - origin Distance [mm],HeadEE - origin Distance [mm],HeadEE - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHandEE - origin Distance [mm],LeftHandEE - origin Distance [mm],LeftHandEE - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightArm_tx - origin Distance [mm],RightArm_tx - origin Distance [mm],RightArm_tx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHandEE - origin Distance [mm],RightHandEE - origin Distance [mm],RightHandEE - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftFootEE - origin Distance [mm],LeftFootEE - origin Distance [mm],LeftFootEE - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightFootEE - origin Distance [mm],RightFootEE - origin Distance [mm],RightFootEE - origin Distance [mm],
0,78.415,1007.66,557.197,23.573,871.336,588.123,14.7054,770.766,596.874,18.9167,685.928,593.531,5.7351,571.908,581.235,142.332,1063.18,535.987,162.088,1149.51,522.512,142.638,1326.6,503.038,161.295,1021.97,585.211,146.169,1028.75,722.954,150.651,780.094,855.058,296.435,751.358,651.184,299.833,695.137,578.353,147.296,1008.59,501.401,87.872,974.223,380.839,50.5924,706.86,300.648,292.791,636.348,304.055,384.671,634.464,298.478,81.5066,470.614,644.224,575.97,510.306,668.42,456.405,83.0511,684.939,579.682,23.9086,720.378,659.905,26.4491,737.567,59.4206,503.332,469.949,519.779,512.385,283.883,412.85,83.4066,243.15,531.283,23.8199,194.424,608.38,25.8654,166.327,
0.0166667,77.7796,1008.48,556.913,23.0297,872.185,588.147,14.2261,771.628,597.108,18.4939,686.787,593.893,5.3846,572.752,581.668,141.682,1063.98,535.623,161.456,1150.27,521.92,142.075,1327.31,501.917,160.607,1022.95,584.999,145.57,1029.6,722.758,153.49,780.416,853.713,298.178,749.947,649.311,302.92,693.242,576.932,146.736,1009.32,501.208,86.6107,974.507,381.121,50.6837,707.404,299.461,292.742,636.46,303.779,384.634,635.515,298.157,81.103,471.51,644.805,575.645,510.606,668.353,456.579,83.2164,684.982,579.897,24.3218,720.69,660.095,27.0189,737.97,59.2653,504.16,470.486,519.761,512.357,284.719,412.746,83.4233,243.737,531.115,23.7918,194.911,608.176,25.7818,166.71,
0.0333333,77.0199,1009.35,556.766,22.6842,872.918,588.105,14.0473,772.359,597.207,18.3758,687.515,594.15,5.0757,573.476,582.169,140.759,1065.05,535.476,160.336,1151.36,521.663,140.594,1328.33,501.383,159.772,1024.13,584.916,144.487,1030.65,722.654,157.592,780.604,851.537,300.677,748.099,646.321,306.965,690.758,574.564,146.027,1010.36,501.128,85.5277,974.893,381.419,51.0401,707.846,298.959,293.02,636.66,303.641,384.886,636.47,297.549,80.5425,472.227,645.595,575.145,510.867,668.611,456.862,83.2394,684.704,580.345,24.6712,720.381,660.544,27.5761,737.622,58.8848,504.509,471.185,519.455,512.37,285.59,412.972,83.3682,243.949,531.326,23.8651,194.932,608.331,25.9121,166.585,
0.05,75.9489,1010.68,556.847,21.8861,874.179,588.388,13.3876,773.621,597.631,17.7973,688.777,594.701,4.52541,574.712,582.936,139.582,1066.44,535.437,159.083,1152.75,521.423,139.253,1329.66,500.792,158.702,1025.63,584.9,142.877,1032.22,722.573,162.834,780.999,848.25,304.002,745.948,642.127,312.208,687.746,571.262,144.9,1011.74,501.14,84.4674,975.369,381.671,51.5487,708.141,299.155,293.515,636.885,303.481,385.343,637.475,296.859,80.0817,473.604,646.479,574.81,510.689,669.347,456.817,82.9375,684.228,580.455,24.5602,719.679,660.671,27.6081,736.815,58.2439,505.549,472.03,518.942,512.052,286.701,413.116,83.0265,243.656,531.493,23.6852,194.496,608.465,25.8117,166.064,
0.0666667,74.5408,1011.02,557.044,21.1381,874.323,588.861,12.9528,773.751,598.234,17.5232,688.915,595.33,4.16405,574.865,583.515,137.895,1067.05,535.505,157.026,1153.38,521.153,136.493,1330.13,499.83,157.22,1026.43,585.068,140.816,1034,722.623,169.011,781.46,843.996,308.078,743.434,636.975,318.516,684.557,566.966,143.487,1012.3,501.336,83.3526,975.756,381.77,51.8952,708.197,299.757,293.962,637.243,303.353,385.726,638.628,295.995,79.5804,473.596,646.968,574.289,510.638,670.331,457.068,82.6154,683.413,580.898,24.5839,718.763,661.101,27.8661,735.917,57.8226,505.753,472.548,518.396,512.29,286.91,413.759,82.9881,243.71,532.07,23.814,194.19,608.912,26.0329,165.416,
0.0833333,72.7999,1011.75,557.258,19.9459,874.905,589.342,12.0526,774.321,598.829,16.8009,689.494,595.946,3.49916,575.442,584.095,135.919,1067.99,535.571,154.734,1154.33,520.847,133.603,1330.92,498.798,155.435,1027.53,585.208,138.606,1035.55,722.686,176.058,781.851,839.036,312.705,740.598,631.023,325.75,681.266,561.841,141.71,1013.21,501.509,81.9568,976.303,381.86,52.0627,708.304,300.708,294.279,637.814,303.184,385.97,639.733,295.082,78.9673,474.135,647.427,573.714,510.344,671.278,457.251,82.066,682.659,581.263,24.364,717.91,661.452,27.8759,735.086,57.1329,506.444,473.044,517.73,512.383,287.446,414.309,82.85,243.62,532.604,23.7889,193.929,609.362,26.0682,164.936,
0.1,70.7626,1012.42,557.374,18.4058,875.394,589.507,10.8062,774.792,599.049,15.7603,689.976,596.202,2.57741,575.909,584.356,133.678,1068.9,535.714,152.154,1155.26,520.704,130.348,1331.69,497.998,153.299,1028.54,585.415,136.243,1036.71,722.858,183.82,782.111,833.407,317.441,737.237,624.181,333.804,677.675,555.907,139.737,1014.1,501.711,80.3304,977.071,381.929,52.0449,708.556,301.91,294.45,638.681,302.975,386.079,640.747,294.237,78.0395,474.653,647.777,572.827,510.098,671.922,457.499,81.4754,681.811,581.691,24.1328,717.014,661.857,27.8817,734.244,56.3907,506.949,473.369,517.055,512.539,287.925,414.682,82.8231,243.432,532.946,23.7477,193.684,609.639,26.0101,164.52,
0.116667,68.3061,1013.22,557.686,16.5089,875.953,589.692,9.27929,775.315,599.15,14.5205,690.519,596.221,1.61997,576.435,584.227,130.983,1070,536.112,149.035,1156.41,520.917,126.365,1332.68,497.787,150.746,1029.68,585.814,133.677,1037.63,723.268,191.863,782.345,826.942,322.497,733.302,616.768,341.677,673.642,549.318,137.325,1015.23,502.089,78.1185,977.953,382.284,51.8965,708.987,303.082,294.459,639.656,302.68,386.06,641.732,293.642,77.2453,475.261,647.583,572.057,510.072,672.134,457.975,81.093,680.929,582.205,24.0275,716.447,662.308,27.9658,733.926,55.6928,507.746,473.198,516.634,512.904,288.433,415.178,83.0015,243.646,533.43,23.7441,194.086,610.099,25.893,164.85,
0.133333,65.8207,1013.52,557.778,14.3512,876.044,589.408,7.38098,775.375,598.718,12.8573,690.595,595.732,0.224739,576.492,583.64,128.366,1070.55,536.49,146.084,1157.03,521.255,122.694,1333.17,497.879,148.122,1030.2,586.186,131.369,1037.81,723.697,199.807,782.179,820.001,327.441,728.91,609.014,349.111,669.182,542.384,135.004,1015.83,502.397,75.4897,978.64,382.719,51.4772,709.367,303.862,294.237,640.746,302.203,385.862,642.582,293.365,75.8478,475.446,647.203,570.645,510.298,671.991,458.476,80.8035,680.218,582.734,24.0217,716.092,662.772,28.1115,733.833,54.7783,507.941,472.761,516.057,513.326,288.847,415.003,83.3723,243.644,533.141,23.7741,194.221,609.782,25.6863,164.893,
0.15,63.0805,1014.13,557.991,12.055,876.424,589.326,5.40037,775.713,598.421,11.1323,690.958,595.231,1.22859,576.862,582.797,125.421,1071.45,536.87,142.692,1158.01,521.584,118.346,1334,498.066,145.287,1031.05,586.533,129.424,1037.34,724.216,207.242,781.603,812.783,332.105,724.028,601.27,355.917,664.665,535.046,132.325,1016.78,502.703,72.5703,979.513,383.168,50.9426,710.035,304.322,293.836,641.922,301.632,385.504,643.211,293.15,74.5282,475.777,646.14,569.281,510.803,671.553,459.263,80.7462,679.436,583.425,24.1078,715.863,663.373,28.2729,733.989,53.6095,508.774,471.774,515.528,514.109,289.473,415.3,84.0501,243.437,533.399,24.2368,194.182,610.036,26.0264,164.836,
