Frames,RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
1,-1410.17,-1046.04,-4581.97,-1442.64,-1071.06,-4506.48,-1490.76,-1066.39,-4366.79,-1446.34,-749.979,-4078.41,-1408.75,-965.356,-3656.05,-1157.7,-1272.23,-4510.23,-1188.41,-1297.99,-4434.25,-1244.86,-1279.47,-4298.9,-1404.07,-920.963,-4121.75,-1555.07,-1045.04,-3688.17,-1407.94,-737.037,-3822.88,-1415.32,-775.65,-3740.82,-1351.57,-808.602,-3502.04,-1437.99,-628.387,-3310.45,-1593.77,-594.6,-3365.46,-1599.55,-771.436,-3744.14,-1684.14,-738.787,-3736.44,-1887.66,-797.343,-3604.84,-1833.19,-666.896,-3366.79,-1674.77,-609.494,-3360.21,-1677.93,-360.891,-3202.1,-1649.8,-500.775,-3298.06,-1634.09,-580.454,-3326.19,-1620.45,-662.994,-3322.51,-1601.74,-788.696,-3390.39,-1582.87,-859.676,-3454.1,-1558.96,-910.325,-3513.39,-1511.5,-990.938,-3572.69,-1491.77,-1000.44,-3638.97,
2,-1410.57,-1046.06,-4582.23,-1442.81,-1071.16,-4506.67,-1490.68,-1066.57,-4366.89,-1446.66,-749.901,-4078.73,-1408.42,-965.214,-3656.39,-1156.7,-1271.89,-4510.05,-1187.45,-1297.74,-4434.13,-1244.08,-1279.4,-4298.83,-1403.95,-921.244,-4121.58,-1554.7,-1045.23,-3687.88,-1408.25,-736.658,-3822.63,-1415.37,-775.626,-3740.71,-1351.52,-808.952,-3502,-1437.88,-628.364,-3310.74,-1593.56,-594.341,-3365.89,-1599.11,-771.481,-3743.86,-1683.62,-738.587,-3736.32,-1887.29,-797.294,-3605.03,-1832.83,-667.133,-3366.82,-1674.5,-609.464,-3360.41,-1677.85,-360.727,-3202.4,-1649.66,-500.576,-3298.39,-1633.82,-580.234,-3326.52,-1619.93,-662.727,-3322.74,-1601.02,-788.509,-3390.4,-1582.13,-859.553,-3454.04,-1558.27,-910.25,-3513.32,-1510.84,-990.858,-3572.63,-1491.32,-1000.43,-3638.97,
3,-1411.25,-1046.07,-4582.55,-1443.2,-1071.29,-4506.91,-1490.71,-1066.89,-4367.01,-1446.99,-750.095,-4078.94,-1407.93,-965.051,-3656.49,-1155.67,-1271.57,-4509.94,-1186.51,-1297.53,-4434.09,-1243.34,-1279.39,-4298.85,-1403.75,-921.555,-4121.42,-1554.14,-1045.35,-3687.54,-1408.77,-736.272,-3822.3,-1415.39,-775.647,-3740.54,-1351.19,-809.206,-3501.96,-1437.85,-628.444,-3311,-1593.37,-594.022,-3366.35,-1598.63,-771.618,-3743.54,-1683.04,-738.414,-3736.24,-1886.95,-797.105,-3605.31,-1832.47,-667.399,-3366.85,-1674.28,-609.33,-3360.74,-1677.77,-360.408,-3202.88,-1649.55,-500.265,-3298.85,-1633.63,-579.923,-3326.93,-1619.53,-662.373,-3323.01,-1600.38,-788.264,-3390.41,-1581.43,-859.388,-3453.94,-1557.57,-910.141,-3513.17,-1510.11,-990.747,-3572.47,-1490.73,-1000.38,-3638.83,
4,-1412.07,-1045.78,-4582.9,-1443.73,-1071.19,-4507.2,-1490.87,-1067.07,-4367.17,-1447.44,-750.374,-4078.95,-1407.23,-965.154,-3656.52,-1154.82,-1270.99,-4510.03,-1185.76,-1297.08,-4434.27,-1242.82,-1279.19,-4299.09,-1403.7,-921.743,-4121.32,-1553.56,-1045.38,-3687.21,-1409.19,-735.942,-3821.99,-1415.41,-775.616,-3740.34,-1350.78,-809.328,-3501.9,-1437.8,-628.397,-3311.26,-1593.24,-593.577,-3366.59,-1598.27,-771.81,-3743.23,-1682.57,-738.297,-3736.2,-1886.78,-796.951,-3605.71,-1832.09,-667.74,-3367.03,-1674.11,-609.094,-3361.07,-1678.07,-360.233,-3202.94,-1649.64,-499.945,-3299.06,-1633.6,-579.558,-3327.19,-1619.27,-661.967,-3323.24,-1599.71,-787.853,-3390.53,-1580.59,-859.005,-3453.98,-1556.72,-909.825,-3513.14,-1509.33,-990.565,-3572.32,-1490.04,-1000.37,-3638.68,
5,-1412.88,-1045.62,-4583.16,-1444.3,-1071.2,-4507.42,-1491.16,-1067.34,-4367.28,-1447.88,-750.835,-4078.83,-1406.49,-965.118,-3656.26,-1154.2,-1270.7,-4510.1,-1185.28,-1296.9,-4434.44,-1242.57,-1279.19,-4299.33,-1403.67,-921.953,-4121.33,-1552.81,-1045.38,-3686.91,-1409.81,-735.74,-3821.83,-1415.27,-775.572,-3740.2,-1350.26,-809.212,-3501.86,-1437.88,-628.465,-3311.32,-1593.15,-593.221,-3366.85,-1598.18,-772.191,-3742.93,-1682.33,-738.235,-3736.22,-1886.77,-796.764,-3606.04,-1831.82,-667.967,-3367.2,-1674.01,-608.844,-3361.45,-1678.02,-359.898,-3203.24,-1649.64,-499.599,-3299.39,-1633.6,-579.216,-3327.51,-1619.15,-661.602,-3323.47,-1599.31,-787.53,-3390.6,-1580.04,-858.728,-3453.95,-1556.08,-909.601,-3513.03,-1508.63,-990.408,-3572.07,-1489.31,-1000.3,-3638.41,
6,-1413.65,-1045.61,-4583.34,-1444.84,-1071.32,-4507.55,-1491.42,-1067.63,-4367.32,-1448.22,-751.164,-4078.8,-1405.97,-964.963,-3656.07,-1153.59,-1270.56,-4510.01,-1184.87,-1296.88,-4434.46,-1242.46,-1279.36,-4299.46,-1403.69,-922.323,-4121.18,-1552.25,-1045.39,-3686.47,-1410.27,-735.585,-3821.75,-1415.06,-775.503,-3740.12,-1349.68,-809.051,-3501.87,-1438.02,-628.584,-3311.4,-1593.14,-592.896,-3367.06,-1598.25,-772.52,-3742.73,-1682.31,-738.295,-3736.24,-1886.99,-796.648,-3606.36,-1831.69,-668.066,-3367.48,-1673.97,-608.687,-3361.64,-1677.88,-359.45,-3203.67,-1649.66,-499.262,-3299.7,-1633.64,-578.913,-3327.74,-1619.01,-661.26,-3323.57,-1598.88,-787.258,-3390.48,-1579.48,-858.515,-3453.73,-1555.48,-909.435,-3512.75,-1508,-990.253,-3571.74,-1488.74,-1000.2,-3638.1,
7,-1414.24,-1045.59,-4583.36,-1445.27,-1071.4,-4507.53,-1491.68,-1067.83,-4367.24,-1448.51,-751.449,-4078.63,-1405.57,-964.862,-3655.78,-1153.41,-1270.65,-4509.9,-1184.82,-1297,-4434.41,-1242.56,-1279.54,-4299.47,-1403.69,-922.493,-4121.12,-1551.81,-1045.35,-3686.19,-1410.48,-735.432,-3821.67,-1414.79,-775.434,-3740.06,-1349.1,-808.89,-3501.87,-1438.11,-628.698,-3311.45,-1593.16,-592.675,-3367.1,-1598.32,-772.643,-3742.56,-1682.39,-738.407,-3736.23,-1887.26,-796.609,-3606.58,-1831.66,-667.968,-3367.81,-1673.98,-608.525,-3361.74,-1677.45,-359.059,-3203.88,-1649.58,-499,-3299.83,-1633.7,-578.7,-3327.82,-1619.01,-661.031,-3323.58,-1598.72,-787.056,-3390.4,-1579.23,-858.338,-3453.59,-1555.17,-909.284,-3512.56,-1507.63,-990.122,-3571.48,-1488.34,-1000.11,-3637.82,
8,-1414.7,-1045.66,-4583.28,-1445.65,-1071.51,-4507.44,-1492,-1067.95,-4367.12,-1448.75,-751.555,-4078.54,-1405.34,-964.747,-3655.62,-1153.35,-1270.78,-4509.68,-1184.89,-1297.14,-4434.26,-1242.79,-1279.67,-4299.38,-1403.65,-922.508,-4121.03,-1551.64,-1045.13,-3685.99,-1410.46,-735.384,-3821.68,-1414.44,-775.423,-3740.06,-1348.66,-808.574,-3501.86,-1438.26,-628.86,-3311.27,-1593.24,-592.499,-3366.88,-1598.27,-772.595,-3742.26,-1682.39,-738.414,-3736.23,-1887.4,-796.768,-3606.88,-1831.75,-667.783,-3368.3,-1674.05,-608.433,-3361.62,-1677.16,-358.764,-3203.87,-1649.61,-498.833,-3299.72,-1633.86,-578.575,-3327.66,-1619.08,-660.89,-3323.41,-1598.58,-786.882,-3390.22,-1578.99,-858.145,-3453.4,-1554.9,-909.087,-3512.37,-1507.39,-989.939,-3571.29,-1488.12,-999.939,-3637.64,
9,-1415.08,-1045.9,-4583.02,-1446.02,-1071.78,-4507.18,-1492.36,-1068.27,-4366.86,-1448.95,-752.018,-4078.15,-1404.99,-964.857,-3655.11,-1153.21,-1271.23,-4509.2,-1185.01,-1297.53,-4433.86,-1243.19,-1279.94,-4299.12,-1403.49,-922.379,-4121.06,-1551.39,-1044.89,-3685.96,-1410.33,-735.417,-3821.69,-1414.12,-775.38,-3740.03,-1348.16,-808.303,-3501.84,-1438.49,-629.248,-3310.97,-1593.35,-592.425,-3366.64,-1597.97,-772.351,-3741.95,-1682.15,-738.305,-3736.11,-1887.35,-796.968,-3607.2,-1831.87,-667.64,-3368.77,-1674.19,-608.28,-3361.71,-1676.81,-358.417,-3204.07,-1649.63,-498.68,-3299.75,-1634.11,-578.497,-3327.59,-1619.42,-660.828,-3323.33,-1598.79,-786.781,-3390.18,-1579.07,-858.023,-3453.34,-1554.87,-908.967,-3512.26,-1507.34,-989.875,-3571.09,-1487.9,-999.875,-3637.39,
10,-1415.24,-1046.2,-4582.7,-1446.24,-1072.06,-4506.88,-1492.69,-1068.5,-4366.59,-1449.14,-752.306,-4077.84,-1404.74,-965.076,-3654.82,-1152.94,-1271.49,-4508.64,-1185.06,-1297.78,-4433.43,-1243.61,-1280.16,-4298.86,-1403.35,-922.279,-4120.92,-1551.31,-1044.73,-3685.82,-1410.08,-735.5,-3821.72,-1413.87,-775.302,-3739.98,-1347.94,-808.084,-3501.77,-1438.77,-629.537,-3310.66,-1593.55,-592.382,-3366.31,-1597.44,-772.02,-3741.59,-1681.7,-738.127,-3735.89,-1887.17,-797.223,-3607.61,-1832.01,-667.763,-3369.18,-1674.41,-608.28,-3361.66,-1676.88,-358.184,-3204.24,-1649.89,-498.643,-3299.68,-1634.47,-578.519,-3327.42,-1619.74,-660.843,-3323.15,-1598.83,-786.716,-3390.06,-1578.95,-857.918,-3453.22,-1554.69,-908.865,-3512.11,-1507.24,-989.849,-3570.91,-1487.76,-999.887,-3637.18,
