Seconds,RightHand_rx - Head_ry Distance [mm],RightHand_rx - HeadEE Distance [mm],RightForeArm_rx - Head_ry Distance [mm],RightForeArm_rx - HeadEE Distance [mm],RightHand_rx - RightArm_tx Distance [mm],RightHand_rx - floor Distance [mm],RightLeg_rx - floor Distance [mm],RightUpLeg_tx - floor Distance [mm],LeftHand_rx - Head_ry Distance [mm],LeftHand_rx - HeadEE Distance [mm],LeftForeArm_rx - Head_ry Distance [mm],LeftForeArm_rx - HeadEE Distance [mm],LeftHand_rx - LeftArm_tx Distance [mm],LeftHand_rx - floor Distance [mm],LeftLeg_rx - floor Distance [mm],LeftUpLeg_tx - floor Distance [mm],LeftHand_rx - RightHand_rx Distance [mm],
0,572.838,733.885,507.538,658.415,402.551,636.348,512.385,503.332,439.468,613.599,497.18,650.116,323.541,751.358,510.306,470.614,365.704,
0.0166667,573.433,734.324,507.831,658.501,403.419,636.46,512.357,504.16,441.794,615.987,496.935,650.372,326.937,749.947,510.606,471.51,363.732,
0.0333333,574.506,735.351,508.182,658.781,404.357,636.66,512.37,504.509,444.811,619.111,496.272,650.306,331.745,748.099,510.867,472.227,360.426,
0.05,575.919,736.659,508.567,659.269,405.445,636.885,512.052,505.549,448.392,622.767,495,649.856,338.205,745.948,510.689,473.604,355.929,
0.0666667,576.702,737.221,508.189,658.779,406.32,637.243,512.29,505.753,451.982,626.471,492.642,648.498,346.036,743.434,510.638,473.596,350.399,
0.0833333,577.612,737.887,507.878,658.437,407.241,637.814,512.383,506.444,456.361,630.905,490.344,647.334,354.556,740.598,510.344,474.135,344.068,
0.1,578.364,738.389,507.381,657.93,408.152,638.681,512.539,506.949,461.269,635.842,487.877,646.058,363.664,737.237,510.098,474.653,336.772,
0.116667,579.494,739.324,507.028,657.605,409.371,639.656,512.904,507.746,467.225,641.774,485.193,644.591,373.643,733.302,510.072,475.261,328.948,
0.133333,580.07,739.703,506.568,657.145,410.494,640.746,513.326,507.941,473.158,647.609,482.336,642.88,383.423,728.91,510.298,475.446,320.949,
0.15,581.007,740.507,506.262,656.817,411.794,641.922,514.109,508.774,480.173,654.528,480.256,641.942,392.889,724.028,510.803,475.777,313.032,
0.166667,581.38,740.802,505.761,656.286,412.855,643.162,514.431,509.21,487.276,661.529,479.005,641.72,401.205,718.972,511.812,476.109,305.379,
0.183333,581.888,741.283,505.524,656.086,413.559,644.508,514.753,509.93,494.25,668.401,477.678,641.31,409.14,713.758,512.543,476.233,298.144,
0.2,582.864,742.36,505.638,656.326,414.273,645.807,515.258,510.645,501.4,675.492,476.311,640.764,416.849,708.549,513.263,476.525,291.135,
0.216667,583.626,743.174,505.666,656.436,415.004,647.11,515.321,511.288,507.973,682.009,473.997,639.271,424.823,703.413,513.781,476.663,284.094,
0.233333,584.33,743.9,505.707,656.562,415.624,648.568,515.456,511.941,514.298,688.297,471.233,637.358,432.822,698.368,514.402,476.876,276.755,
0.25,585.193,744.857,505.827,656.86,416.413,650.127,515.688,512.48,520.45,694.426,468.206,635.168,440.671,693.544,514.928,477.211,269.001,
0.266667,585.777,745.471,505.881,657.148,416.825,651.858,515.563,513.658,526.034,699.925,464.774,632.572,448.305,688.969,515.385,477.548,260.982,
0.283333,586.079,745.867,505.988,657.583,416.934,653.816,516.208,514.573,531.548,705.397,462.165,630.739,454.956,684.774,516.259,478.321,252.95,
0.3,585.624,745.52,505.833,657.895,416.792,656.097,516.579,515.475,535.854,709.639,459.457,628.663,460.64,681.134,517.013,478.936,245.194,
0.316667,584.416,744.455,505.317,657.934,416.332,658.67,516.744,516.247,539.263,713.02,457.385,627.12,464.994,678.133,517.329,479.58,237.67,
0.333333,582.757,742.964,504.582,657.899,415.645,661.45,516.922,517.316,541.61,715.336,455.738,625.878,468.123,675.854,517.474,480.335,230.341,
0.35,581.006,741.358,503.677,657.698,414.856,664.248,517.352,518.324,543.557,717.274,454.78,625.273,470.305,674.041,517.644,481.142,223.319,
0.366667,578.997,739.412,502.588,657.304,413.691,667.191,517.857,518.962,544.881,718.578,454.314,625.08,471.624,672.582,517.964,481.757,217.108,
0.383333,576.826,737.117,501.37,656.624,412.481,670.133,518.414,519.831,545.731,719.369,453.792,624.821,472.702,671.37,518.21,482.234,211.977,
0.4,575.497,735.65,500.996,656.704,411.015,673.057,519.17,520.898,547.122,720.741,453.693,624.939,473.693,670.219,518.728,482.863,208.15,
0.416667,573.241,732.908,500.2,656.113,409.165,675.999,520.106,520.963,547.346,720.835,453.496,624.961,474.073,669.151,519.145,482.948,205.954,
0.433333,571.294,730.367,499.646,655.676,407.515,679.078,520.963,520.993,547.492,720.859,453.684,625.313,474.031,668.231,519.611,483.087,205.232,
0.45,569.19,727.506,498.979,654.987,406.15,682.368,521.872,521.132,547.288,720.51,454.14,625.899,473.52,667.59,520.197,483.107,205.506,
0.466667,567.142,724.705,498.689,654.737,404.769,685.99,522.866,521.239,546.841,719.889,454.934,626.717,472.498,667.446,520.874,483.317,206.06,
0.483333,564.5,721.18,498.474,654.487,403.343,689.909,523.938,521.3,546.005,718.796,455.607,627.403,471.367,667.548,521.455,483.321,206.463,
0.5,561.936,717.674,498.507,654.594,402.282,693.882,524.722,521.537,545.275,717.698,455.811,627.566,470.739,667.836,522.016,483.566,206.551,
0.516667,559.758,714.556,498.604,654.855,401.553,697.717,525.461,521.835,545.088,717.091,455.846,627.545,470.613,668.069,522.754,483.761,206.331,
